                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     43,                0.32206,                 4.6446,                0.31741,                0.26071,                0.91847,                0.99763,                      1,                  0.995,                0.96656,                0.86461,                0.86667,                0.82442,                0.26178,                0.35442,                 3.1403,                0.37025,                0.26661,                0.65868,              0.0011684,              0.0011684,              0.0011684
                     44,                0.30949,                 4.6976,                0.30865,                0.25697,                0.92455,                0.99815,                      1,                  0.995,                0.94774,                0.63216,                0.63333,                0.50575,                0.16532,                0.35846,                 3.7214,                0.38997,                0.25753,                0.64387,              0.0011486,              0.0011486,              0.0011486
                     45,                0.30119,                 4.9009,                0.31032,                0.24923,                0.91676,                0.99822,                      1,                  0.995,                 0.9764,                0.73203,                0.73333,                0.61486,                0.24891,                  0.294,                 3.5617,                0.37811,                0.25536,                0.59576,              0.0011288,              0.0011288,              0.0011288
                     46,                0.31479,                 4.5473,                0.30753,                0.25788,                0.92415,                0.99826,                      1,                  0.995,                0.98369,                0.49918,                    0.5,                0.34267,                0.09763,                0.27736,                 4.1967,                0.38304,                 0.2892,                0.57977,               0.001109,               0.001109,               0.001109
                     47,                 0.2842,                 4.4183,                0.30815,                 0.2499,                0.91513,                0.99824,                      1,                  0.995,                0.97772,                0.73204,                0.73333,                0.59915,                0.17056,                0.31798,                 4.0143,                0.38097,                0.26926,                0.63828,              0.0010892,              0.0010892,              0.0010892
                     48,                0.29234,                 4.1769,                0.31865,                0.24938,                0.91569,                0.99824,                      1,                  0.995,                0.98151,                0.83216,                0.83333,                0.78749,                0.25034,                0.30425,                 3.1109,                0.38125,                0.25042,                0.63339,              0.0010694,              0.0010694,              0.0010694
                     49,                0.31026,                 4.3211,                0.31569,                0.24882,                0.92619,                0.99818,                      1,                  0.995,                0.97134,                0.66546,                0.66667,                0.54099,                0.22985,                0.32308,                 4.0923,                0.41126,                 0.2709,                0.66561,              0.0010496,              0.0010496,              0.0010496
                     50,                0.29899,                 4.2497,                0.30539,                0.24405,                0.91954,                0.99817,                      1,                  0.995,                0.97502,                0.93163,                0.93333,                0.92556,                0.29258,                0.30052,                 3.2571,                0.41285,                 0.2537,                0.65263,              0.0010298,              0.0010298,              0.0010298
                     51,                0.29885,                 4.3065,                0.30691,                0.24013,                  0.903,                0.99815,                      1,                  0.995,                0.93704,                0.89833,                    0.9,                0.86978,                0.36291,                0.41203,                  2.904,                0.38585,                0.27438,                0.72392,                0.00101,                0.00101,                0.00101
                     52,                0.32583,                 4.1357,                0.31056,                0.25548,                0.93162,                0.99817,                      1,                  0.995,                0.97412,                0.83181,                0.83333,                0.79613,                0.27784,                0.38266,                 3.0829,                0.39053,                0.26873,                0.68076,              0.0009902,              0.0009902,              0.0009902
                     53,                0.30884,                 3.8713,                0.31841,                0.24215,                0.92146,                0.99827,                      1,                  0.995,                0.98008,                0.73206,                0.73333,                 0.6026,                0.21217,                0.32787,                 3.8154,                0.37561,                0.25733,                0.63913,              0.0009704,              0.0009704,              0.0009704
                     54,                0.28524,                  3.861,                0.30753,                0.24374,                0.90902,                0.99826,                      1,                  0.995,                0.99264,                0.86516,                0.86667,                 0.8137,                0.29608,                0.30026,                 3.0946,                0.38855,                0.24137,                0.60115,              0.0009506,              0.0009506,              0.0009506
                     55,                0.28398,                 4.0831,                0.30284,                0.24989,                0.92615,                0.99821,                      1,                  0.995,                0.98114,                0.66547,                0.66667,                0.53509,                0.12991,                0.33592,                 3.6362,                0.39452,                  0.241,                0.65634,              0.0009308,              0.0009308,              0.0009308
                     56,                0.27489,                 3.9565,                0.30247,                 0.2378,                0.91295,                0.99827,                      1,                  0.995,                0.97961,                0.76534,                0.76667,                0.67817,                0.21938,                0.33457,                 3.6299,                0.37842,                0.23807,                0.64706,               0.000911,               0.000911,               0.000911
                     57,                0.28571,                 4.2373,                0.30706,                0.23982,                0.92131,                 0.9983,                      1,                  0.995,                0.98151,                0.89847,                    0.9,                0.85212,                0.35662,                0.30067,                 2.9395,                0.38874,                0.23606,                0.61556,              0.0008912,              0.0008912,              0.0008912
